YEAR,MONTH,DAY,STID,PDIR,WSPD
2014,1,1,ACME,0,17.95
2014,1,2,ACME,0,9.32
2014,1,3,ACME,8,18.08
2014,1,4,ACME,8,19.41
2014,1,5,ACME,0,21.34
2014,1,6,ACME,-996,7.74
2014,1,7,ACME,9,16
2014,1,8,ACME,7,12.43
2014,1,9,ACME,7,5.68
2014,1,10,ACME,-996,11.48
2014,1,11,ACME,13,9.14
2014,1,12,ACME,9,19.99
2014,1,13,ACME,14,10.88
2014,1,14,ACME,0,11.02
2014,1,15,ACME,-996,8.36
2014,1,16,ACME,15,13.28
2014,1,17,ACME,0,10.86
2014,1,18,ACME,9,11.68
2014,1,19,ACME,-996,10.88
2014,1,20,ACME,0,13.31
2014,1,21,ACME,0,11.63
2014,1,22,ACME,2,9.83
2014,1,23,ACME,1,18.12
2014,1,24,ACME,-996,11.75
2014,1,25,ACME,-996,5.43
2014,1,26,ACME,0,8.11
2014,1,27,ACME,1,21.58
2014,1,28,ACME,1,9.15
2014,1,29,ACME,8,12.59
2014,1,30,ACME,8,18.3
2014,1,31,ACME,0,10.82
2014,2,1,ACME,0,14.28
2014,2,2,ACME,0,15.04
2014,2,3,ACME,-996,4.68
2014,2,4,ACME,-996,-996
2014,2,5,ACME,-996,-996
2014,2,6,ACME,1,10.76
2014,2,7,ACME,8,7.36
2014,2,8,ACME,7,7.41
2014,2,9,ACME,1,9.29
2014,2,10,ACME,-996,-996
2014,2,11,ACME,0,8.26
2014,2,12,ACME,-996,5.47
2014,2,13,ACME,7,7.84
2014,2,14,ACME,-996,12.43
2014,2,15,ACME,-996,9.86
2014,2,16,ACME,6,10.69
2014,2,17,ACME,0,13.34
2014,2,18,ACME,8,10.52
2014,2,19,ACME,7,14.25
2014,2,20,ACME,14,16.6
2014,2,21,ACME,-996,10.99
2014,2,22,ACME,8,12.13
2014,2,23,ACME,1,13.39
2014,2,24,ACME,1,6.06
2014,2,25,ACME,1,13.13
2014,2,26,ACME,-996,11.78
2014,2,27,ACME,7,8.87
2014,2,28,ACME,7,11.05
2014,3,1,ACME,-996,-996
2014,3,2,ACME,-996,-996
2014,3,3,ACME,-996,-996
2014,3,4,ACME,-996,-996
2014,3,5,ACME,0,10.15
2014,3,6,ACME,7,5.67
2014,3,7,ACME,8,19.17
2014,3,8,ACME,0,17.86
2014,3,9,ACME,0,6.56
2014,3,10,ACME,9,13.23
2014,3,11,ACME,8,21.02
2014,3,12,ACME,-996,14.95
2014,3,13,ACME,10,12.3
2014,3,14,ACME,-996,9.25
2014,3,15,ACME,6,9.27
2014,3,16,ACME,0,21.43
2014,3,17,ACME,-996,10.2
2014,3,18,ACME,8,22.04
2014,3,19,ACME,0,11.68
2014,3,20,ACME,9,13
2014,3,21,ACME,8,15.31
2014,3,22,ACME,1,14.23
2014,3,23,ACME,-996,12.94
2014,3,24,ACME,7,11
2014,3,25,ACME,-996,5.63
2014,3,26,ACME,7,19.4
2014,3,27,ACME,8,18.99
2014,3,28,ACME,1,14.08
2014,3,29,ACME,14,5.33
2014,3,30,ACME,8,19.33
2014,3,31,ACME,8,16.66
2014,4,1,ACME,2,11.04
2014,4,2,ACME,8,18.06
2014,4,3,ACME,13,16.05
2014,4,4,ACME,0,11.72
2014,4,5,ACME,6,9.43
2014,4,6,ACME,-996,5.85
2014,4,7,ACME,-996,6.03
2014,4,8,ACME,14,11.98
2014,4,9,ACME,8,14.62
2014,4,10,ACME,8,15.33
2014,4,11,ACME,6,8.85
2014,4,12,ACME,8,23.2
2014,4,13,ACME,8,24.75
2014,4,14,ACME,0,20.56
2014,4,15,ACME,-996,7.75
2014,4,16,ACME,8,19.99
2014,4,17,ACME,2,8.21
2014,4,18,ACME,7,6.08
2014,4,19,ACME,7,11.37
2014,4,20,ACME,7,12.45
2014,4,21,ACME,-996,7.98
2014,4,22,ACME,-996,5.23
2014,4,23,ACME,7,16.73
2014,4,24,ACME,15,16.64
2014,4,25,ACME,7,15.04
2014,4,26,ACME,8,22.99
2014,4,27,ACME,10,18.38
2014,4,28,ACME,14,10.09
2014,4,29,ACME,14,13.97
2014,4,30,ACME,15,12.6
2014,5,1,ACME,-996,7.91
2014,5,2,ACME,-996,4.84
2014,5,3,ACME,7,12.35
2014,5,4,ACME,8,18.64
2014,5,5,ACME,8,19.39
2014,5,6,ACME,8,20.64
2014,5,7,ACME,8,19.9
2014,5,8,ACME,7,13.7
2014,5,9,ACME,0,7.1
2014,5,10,ACME,8,16.89
2014,5,11,ACME,7,23.59
2014,5,12,ACME,0,16.68
2014,5,13,ACME,-996,13.37
2014,5,14,ACME,-996,7.26
2014,5,15,ACME,0,8.57
2014,5,16,ACME,6,11.09
2014,5,17,ACME,3,12.22
2014,5,18,ACME,7,14.23
2014,5,19,ACME,8,23.34
2014,5,20,ACME,8,22.88
2014,5,21,ACME,8,16.82
2014,5,22,ACME,7,12.44
2014,5,23,ACME,7,8.59
2014,5,24,ACME,6,7.64
2014,5,25,ACME,8,9.43
2014,5,26,ACME,7,8.56
2014,5,27,ACME,1,9.13
2014,5,28,ACME,2,6.94
2014,5,29,ACME,-996,5.2
2014,5,30,ACME,3,7.54
2014,5,31,ACME,5,6.12
2014,6,1,ACME,7,13.48
2014,6,2,ACME,7,12.51
2014,6,3,ACME,7,14.89
2014,6,4,ACME,8,17.6
2014,6,5,ACME,8,15.57
2014,6,6,ACME,7,12.16
2014,6,7,ACME,0,9.09
2014,6,8,ACME,3,8.58
2014,6,9,ACME,13,13.09
2014,6,10,ACME,15,10.73
2014,6,11,ACME,7,10.6
2014,6,12,ACME,1,10.07
2014,6,13,ACME,-996,6.38
2014,6,14,ACME,7,18.34
2014,6,15,ACME,8,15.74
2014,6,16,ACME,7,18.58
2014,6,17,ACME,8,18.78
2014,6,18,ACME,8,17.79
2014,6,19,ACME,8,14.06
2014,6,20,ACME,7,9.37
2014,6,21,ACME,8,9.6
2014,6,22,ACME,7,12.17
2014,6,23,ACME,-996,8.78
2014,6,24,ACME,-996,4.84
2014,6,25,ACME,7,8.51
2014,6,26,ACME,7,12.16
2014,6,27,ACME,7,19.51
2014,6,28,ACME,7,14.93
2014,6,29,ACME,8,16.68
2014,6,30,ACME,8,18.87
2014,7,1,ACME,1,8.89
2014,7,2,ACME,2,7.8
2014,7,3,ACME,3,6.97
2014,7,4,ACME,6,9.23
2014,7,5,ACME,7,12.12
2014,7,6,ACME,8,12.43
2014,7,7,ACME,8,11.49
2014,7,8,ACME,8,8.1
2014,7,9,ACME,3,8.95
2014,7,10,ACME,7,10.99
2014,7,11,ACME,8,14.02
2014,7,12,ACME,8,12.45
2014,7,13,ACME,8,8.81
2014,7,14,ACME,-996,2.98
2014,7,15,ACME,2,9.42
2014,7,16,ACME,4,8.94
2014,7,17,ACME,4,8.58
2014,7,18,ACME,4,4.79
2014,7,19,ACME,7,6.93
2014,7,20,ACME,8,11.49
2014,7,21,ACME,7,10.96
2014,7,22,ACME,7,7.84
2014,7,23,ACME,7,6.18
2014,7,24,ACME,-996,5.74
2014,7,25,ACME,8,13.48
2014,7,26,ACME,8,12.98
2014,7,27,ACME,8,12.06
2014,7,28,ACME,-996,5.55
2014,7,29,ACME,-996,5.26
2014,7,30,ACME,7,10.07
2014,7,31,ACME,-996,9.21
2014,8,1,ACME,-996,4.02
2014,8,2,ACME,-996,4.29
2014,8,3,ACME,-996,3.93
2014,8,4,ACME,6,5.44
2014,8,5,ACME,6,7.97
2014,8,6,ACME,7,12.43
2014,8,7,ACME,8,12.14
2014,8,8,ACME,3,7.72
2014,8,9,ACME,-996,6.01
2014,8,10,ACME,-996,5.7
2014,8,11,ACME,1,7.28
2014,8,12,ACME,-996,6.15
2014,8,13,ACME,-996,6.95
2014,8,14,ACME,7,10.54
2014,8,15,ACME,8,13.05
2014,8,16,ACME,8,10.47
2014,8,17,ACME,7,8.55
2014,8,18,ACME,8,10.79
2014,8,19,ACME,7,11.18
2014,8,20,ACME,7,15.67
2014,8,21,ACME,8,16.2
2014,8,22,ACME,8,15.43
2014,8,23,ACME,8,13.19
2014,8,24,ACME,8,13.36
2014,8,25,ACME,6,10.84
2014,8,26,ACME,6,7.56
2014,8,27,ACME,-996,-996
2014,8,28,ACME,7,9.58
2014,8,29,ACME,8,7.2
2014,8,30,ACME,-996,4.68
2014,8,31,ACME,8,15.94
2014,9,1,ACME,8,18.74
2014,9,2,ACME,8,13.41
2014,9,3,ACME,-996,-996
2014,9,4,ACME,8,14.23
2014,9,5,ACME,8,11.41
2014,9,6,ACME,1,11.48
2014,9,7,ACME,-996,4.57
2014,9,8,ACME,7,8.6
2014,9,9,ACME,8,15.7
2014,9,10,ACME,1,15.35
2014,9,11,ACME,1,11.71
2014,9,12,ACME,1,16.49
2014,9,13,ACME,1,7.74
2014,9,14,ACME,8,7.26
2014,9,15,ACME,8,8.14
2014,9,16,ACME,-996,5.48
2014,9,17,ACME,8,7.8
2014,9,18,ACME,6,7.62
2014,9,19,ACME,-996,6.53
2014,9,20,ACME,7,7.67
2014,9,21,ACME,2,6.36
2014,9,22,ACME,5,7.04
2014,9,23,ACME,7,10.63
2014,9,24,ACME,7,9.38
2014,9,25,ACME,6,7.44
2014,9,26,ACME,6,7.26
2014,9,27,ACME,6,8.38
2014,9,28,ACME,6,5.79
2014,9,29,ACME,-996,4.43
2014,9,30,ACME,7,12.19
2014,10,1,ACME,8,16.39
2014,10,2,ACME,15,11.97
2014,10,3,ACME,-996,8.84
2014,10,4,ACME,-996,7.51
2014,10,5,ACME,8,7.15
2014,10,6,ACME,-996,7.98
2014,10,7,ACME,8,9.98
2014,10,8,ACME,8,14.12
2014,10,9,ACME,8,13.45
2014,10,10,ACME,0,15.33
2014,10,11,ACME,0,10.15
2014,10,12,ACME,8,14.33
2014,10,13,ACME,14,13.92
2014,10,14,ACME,-996,7.86
2014,10,15,ACME,-996,3.42
2014,10,16,ACME,9,11.68
2014,10,17,ACME,1,9.53
2014,10,18,ACME,2,8.36
2014,10,19,ACME,7,8.86
2014,10,20,ACME,8,7.53
2014,10,21,ACME,8,6.99
2014,10,22,ACME,-996,7.31
2014,10,23,ACME,7,8.91
2014,10,24,ACME,8,10.24
2014,10,25,ACME,8,8.72
2014,10,26,ACME,8,17.06
2014,10,27,ACME,8,16.12
2014,10,28,ACME,1,10.44
2014,10,29,ACME,-996,4.39
2014,10,30,ACME,-996,8.19
2014,10,31,ACME,1,10.28
2014,11,1,ACME,7,11.43
2014,11,2,ACME,7,17.93
2014,11,3,ACME,7,17.64
2014,11,4,ACME,0,10.37
2014,11,5,ACME,-996,2.47
2014,11,6,ACME,-996,6.57
2014,11,7,ACME,9,12.12
2014,11,8,ACME,-996,11.61
2014,11,9,ACME,8,13.42
2014,11,10,ACME,9,21.04
2014,11,11,ACME,0,20.43
2014,11,12,ACME,0,19.41
2014,11,13,ACME,-996,11.51
2014,11,14,ACME,-996,4.51
2014,11,15,ACME,7,12.98
2014,11,16,ACME,0,12.68
2014,11,17,ACME,0,8.03
2014,11,18,ACME,9,10.91
2014,11,19,ACME,-996,7.71
2014,11,20,ACME,4,6
2014,11,21,ACME,9,10.89
2014,11,22,ACME,7,13.73
