YEAR,MONTH,DAY,STID,PDIR,WSPD
2012,1,1,WASH,14,10.5
2012,1,2,WASH,-996,6.83
2012,1,3,WASH,7,9.1
2012,1,4,WASH,0,7.99
2012,1,5,WASH,-996,6.97
2012,1,6,WASH,9,9.74
2012,1,7,WASH,1,11.53
2012,1,8,WASH,1,8.86
2012,1,9,WASH,1,9.31
2012,1,10,WASH,0,6.99
2012,1,11,WASH,-996,11.7
2012,1,12,WASH,14,15.04
2012,1,13,WASH,-996,5.33
2012,1,14,WASH,-996,5.5
2012,1,15,WASH,8,10.7
2012,1,16,WASH,9,14.22
2012,1,17,WASH,0,13.94
2012,1,18,WASH,-996,6.08
2012,1,19,WASH,0,7.09
2012,1,20,WASH,0,9.17
2012,1,21,WASH,1,8.76
2012,1,22,WASH,7,16.94
2012,1,23,WASH,13,5.68
2012,1,24,WASH,6,9.96
2012,1,25,WASH,1,11.78
2012,1,26,WASH,15,9.85
2012,1,27,WASH,8,13.02
2012,1,28,WASH,15,6.69
2012,1,29,WASH,-996,6.71
2012,1,30,WASH,9,11.92
2012,1,31,WASH,9,13.51
2012,2,1,WASH,0,7.44
2012,2,2,WASH,6,9.46
2012,2,3,WASH,7,11.78
2012,2,4,WASH,15,14.9
2012,2,5,WASH,0,11.04
2012,2,6,WASH,-996,3.79
2012,2,7,WASH,-996,7.29
2012,2,8,WASH,-996,5.89
2012,2,9,WASH,-996,5.18
2012,2,10,WASH,0,11.5
2012,2,11,WASH,1,11.11
2012,2,12,WASH,8,8.34
2012,2,13,WASH,-996,9.83
2012,2,14,WASH,-996,6.86
2012,2,15,WASH,6,11.37
2012,2,16,WASH,1,8.01
2012,2,17,WASH,-996,4.37
2012,2,18,WASH,1,9.47
2012,2,19,WASH,15,6
2012,2,20,WASH,8,13.92
2012,2,21,WASH,-996,9.18
2012,2,22,WASH,-996,4.51
2012,2,23,WASH,0,15.92
2012,2,24,WASH,15,10.89
2012,2,25,WASH,-996,11.47
2012,2,26,WASH,8,11.41
2012,2,27,WASH,5,8.54
2012,2,28,WASH,7,12.45
2012,2,29,WASH,-996,6.77
2012,3,1,WASH,9,9.18
2012,3,2,WASH,15,13.19
2012,3,3,WASH,15,8.67
2012,3,4,WASH,11,7.93
2012,3,5,WASH,8,10.56
2012,3,6,WASH,8,19.75
2012,3,7,WASH,7,18.46
2012,3,8,WASH,1,18.37
2012,3,9,WASH,1,9.35
2012,3,10,WASH,-996,8.87
2012,3,11,WASH,7,9.89
2012,3,12,WASH,9,10.07
2012,3,13,WASH,8,10.01
2012,3,14,WASH,8,12.08
2012,3,15,WASH,9,11.99
2012,3,16,WASH,8,11.17
2012,3,17,WASH,8,15.3
2012,3,18,WASH,7,15.14
2012,3,19,WASH,-996,8.54
2012,3,20,WASH,6,8.2
2012,3,21,WASH,-996,5.79
2012,3,22,WASH,12,6.1
2012,3,23,WASH,-996,6.81
2012,3,24,WASH,-996,3.26
2012,3,25,WASH,-996,4.68
2012,3,26,WASH,7,9.06
2012,3,27,WASH,8,10.34
2012,3,28,WASH,8,10.36
2012,3,29,WASH,7,8.92
2012,3,30,WASH,7,6.1
2012,3,31,WASH,6,5.63
2012,4,1,WASH,7,12.24
2012,4,2,WASH,8,13.42
2012,4,3,WASH,2,7.98
2012,4,4,WASH,13,8.11
2012,4,5,WASH,0,8.01
2012,4,6,WASH,6,6.6
2012,4,7,WASH,1,10.04
2012,4,8,WASH,-996,5.8
2012,4,9,WASH,6,6.16
2012,4,10,WASH,4,4.99
2012,4,11,WASH,4,9.59
2012,4,12,WASH,6,13.59
2012,4,13,WASH,8,12.13
2012,4,14,WASH,7,19.47
2012,4,15,WASH,10,13.07
2012,4,16,WASH,1,6.56
2012,4,17,WASH,6,5.35
2012,4,18,WASH,7,9.93
2012,4,19,WASH,8,12.93
2012,4,20,WASH,0,13.44
