H0002,KNCTODD1               Jefferson     NC,Fri Jul 04 15:03:00 PDT 2003,1.34,110.00
H0003,Black River Electric   Fredericktown MO,Fri Jul 04 15:00:00 PDT 2003,4.02,230.00
H0344,BlueStar Systems       Milford      OH,Fri Jul 04 15:00:00 PDT 2003,0.00,340.00
H0457,Corte Madera CA,Fri Jul 04 15:00:00 PDT 2003,1.79,200.00
H0010,Mac Weather            Charlottetown PE,Fri Jul 04 15:00:00 PDT 2003,0.00,320.00
H0012,Crowley TX WX Page     Crowley       TX,Fri Jul 04 15:01:00 PDT 2003,2.24,100.00
H0449,West Houston	        Houston	     TX,Fri Jul 04 15:00:00 PDT 2003,0.00,310.00
H0017,Olathe        KS,Fri Jul 04 15:01:00 PDT 2003,1.79,150.00
H0021,St Catharines ON,Fri Jul 04 15:03:00 PDT 2003,2.68,220.00
H0024,Cornelius     OR,Fri Jul 04 15:01:00 PDT 2003,1.34,340.00
H0025,Dickinson     TX,Fri Jul 04 15:01:00 PDT 2003,1.34,350.00
H0461,Westford     MA,Fri Jul 04 15:03:00 PDT 2003,0.89,270.00
H0029,Affton        MO,Fri Jul 04 15:00:00 PDT 2003,0.00,270.00
H0299,KALB Studios           Alexandria    LA,Fri Jul 04 15:00:00 PDT 2003,2.68,180.00
H0182,Apache Juncti AZ,Fri Jul 04 15:01:00 PDT 2003,2.24,250.00
H0462,Chandler     AZ,Fri Jul 04 15:00:00 PDT 2003,1.79,260.00
H0163,Aspen Trails Subdiv. WX Flagstaff    AZ,Fri Jul 04 15:03:00 PDT 2003,4.47,230.00
H0322,Phoenix       AZ,Fri Jul 04 15:02:00 PDT 2003,4.02,270.00
H0489,Pagosa Springs CO,Fri Jul 04 15:00:00 PDT 2003,1.34,90.00
H0031,Rainbow City  AL,Fri Jul 04 15:00:00 PDT 2003,0.00,130.00
H0032,Hendersonvill TN,Fri Jul 04 15:00:00 PDT 2003,0.45,200.00
H0498,Balboa	     CA,Fri Jul 04 15:01:00 PDT 2003,2.24,250.00
H0339,Williams Worship       Bellflower    CA,Fri Jul 04 15:00:00 PDT 2003,1.34,100.00
H0464,Citrus Heights CA,Fri Jul 04 15:00:00 PDT 2003,2.24,310.00
H0300,Cloverdale    CA,Fri Jul 04 15:02:00 PDT 2003,1.79,220.00
H0450,Dublin       CA,Fri Jul 04 15:00:00 PDT 2003,1.34,110.00
H0294,Rancho San Diego       El Cajon      CA,Fri Jul 04 15:00:00 PDT 2003,1.79,240.00
H0560,El Dorado Hills	Dartboard Wx CA,Fri Jul 04 15:01:00 PDT 2003,3.58,280.00
H0232,Emerald Hills          Redwood City  CA,Fri Jul 04 15:01:00 PDT 2003,1.34,350.00
H0346,California Hills       Folsom        CA,Fri Jul 04 15:03:00 PDT 2003,1.79,280.00
H0561,Grass Valley			     CA,Fri Jul 04 15:00:00 PDT 2003,0.00,250.00
H0562,Grizzly Flats			     CA,Fri Jul 04 15:04:00 PDT 2003,0.00,70.00
H0238,Lake Forest   CA,Fri Jul 04 15:03:00 PDT 2003,0.89,230.00
H0333,Cathouse Backyard WX   Lakeside      CA,Fri Jul 04 15:02:00 PDT 2003,1.79,260.00
H0158,Lancaster     CA,Fri Jul 04 15:01:00 PDT 2003,4.02,270.00
H0284,Audette Associates     Nevada City   CA,Fri Jul 04 15:02:00 PDT 2003,1.34,280.00
H0465,Occidental   CA,Fri Jul 04 15:01:00 PDT 2003,0.89,320.00
H0345,Palmdale      CA,Fri Jul 04 15:02:00 PDT 2003,3.58,290.00
H0564,Rohnert Park			     CA,Fri Jul 04 15:00:00 PDT 2003,0.45,200.00
H0164,San Luis Obis CA,Fri Jul 04 15:00:00 PDT 2003,7.15,310.00
H0269,South Valley Internet  San Martin    CA,Fri Jul 04 15:00:00 PDT 2003,3.58,30.00
H0259,Pickles Central        San Rafael    CA,Fri Jul 04 15:02:00 PDT 2003,0.89,230.00
H0452,Santa Rosa   CA,Fri Jul 04 15:00:00 PDT 2003,1.79,260.00
H0442,Whittier     CA,Fri Jul 04 15:00:00 PDT 2003,2.68,120.00
H0349,Boulder       CO,Fri Jul 04 15:01:00 PDT 2003,4.47,310.00
H0185,On the Mesa            Meeker        CO,Fri Jul 04 15:01:00 PDT 2003,2.24,260.00
H0305,Cozmos Weather Watch   Pueblo        CO,Fri Jul 04 15:02:00 PDT 2003,1.34,100.00
H0189,Canterbury    CT,Fri Jul 04 15:02:00 PDT 2003,0.00,210.00
H0350,Barn Hill              Monroe        CT,Fri Jul 04 15:00:00 PDT 2003,0.00,280.00
H0206,Stonybrook             Norwalk       CT,Fri Jul 04 15:00:00 PDT 2003,0.00,70.00
H0035,Bristol, VA WX Station Bristol       VA,Fri Jul 04 15:02:00 PDT 2003,0.00,300.00
H0036,Dunstable     MA,Fri Jul 04 15:00:00 PDT 2003,1.34,270.00
H0038,Kennesaw      GA,Fri Jul 04 15:02:00 PDT 2003,0.00,170.00
H0224,Boynton Beach FL,Fri Jul 04 15:00:00 PDT 2003,2.24,120.00
H0295,Lake Mary     FL,Fri Jul 04 15:02:00 PDT 2003,1.34,200.00
H0240,Santa Rosa Sound       Navarre       FL,Fri Jul 04 15:02:00 PDT 2003,2.24,150.00
H0312,Satellite Bea FL,Fri Jul 04 15:05:00 PDT 2003,5.36,140.00
H0315,Memory Makers, Inc.    Sebastian     FL,Fri Jul 04 15:00:00 PDT 2003,0.45,160.00
H0175,Sampson                St. Augustine FL,Fri Jul 04 15:00:00 PDT 2003,2.24,90.00
H0225,FarPointe              Ball Ground   GA,Fri Jul 04 15:01:00 PDT 2003,0.00,120.00
H0509,Buchanan     GA,Fri Jul 04 15:00:00 PDT 2003,0.00,150.00
H0296,KD4K                   Cumming       GA,Fri Jul 04 15:02:00 PDT 2003,0.00,170.00
H0186,Dalton        GA,Fri Jul 04 15:02:00 PDT 2003,0.00,60.00
H0569,Rabun Gap			     GA,Fri Jul 04 15:00:00 PDT 2003,0.00,120.00
H0234,Roswell       GA,Fri Jul 04 15:02:00 PDT 2003,1.34,90.00
H0571,Hemet				     CA,Fri Jul 04 15:00:00 PDT 2003,1.79,210.00
H0573,Charles City			     IA,Fri Jul 04 15:03:00 PDT 2003,1.34,230.00
H0195,Van Meter     IA,Fri Jul 04 15:00:00 PDT 2003,0.89,110.00
