BMTC2,Blue_Mountain,Sun Sep 01 15:00:00 PDT 2002,1.79,8.00
QURC2,Quincy_Res,Sun Sep 01 15:00:00 PDT 2002,0.72,56.00
DHPC2,Diamond_Hill,Sun Sep 01 15:00:00 PDT 2002,3.13,84.00
EBBC2,Elbert,Sun Sep 01 15:00:00 PDT 2002,3.04,97.00
BHNC2,Brighton,Sun Sep 01 15:00:00 PDT 2002,2.37,270.00
SQWC2,Squaw_Mountain,Sun Sep 01 15:00:00 PDT 2002,1.97,293.00
HGCC2,Hiwan_G.C.,Sun Sep 01 15:00:00 PDT 2002,0.89,135.00
HIGC2,Highlands_Ranch_WTP,Sun Sep 01 15:00:00 PDT 2002,1.83,96.00
SAPC2,Salisbury_Park,Sun Sep 01 15:00:00 PDT 2002,0.76,124.00
COKC2,Castle_Rock,Sun Sep 01 15:00:00 PDT 2002,1.65,90.00
WRDC2,Ward_C-1,Sun Sep 01 15:00:00 PDT 2002,1.70,225.00
SFSC2,Sugarloaf,Sun Sep 01 15:00:00 PDT 2002,3.00,287.00
LEWC2,Louisville_Lake,Sun Sep 01 15:00:00 PDT 2002,3.93,225.00
BTRC2,Button_Rock,Sun Sep 01 15:00:00 PDT 2002,0.49,146.00
URBC2,Urban Farm at Stapleton,Sun Sep 01 15:00:00 PDT 2002,1.79,304.00
H0003,Black River Electric   Fredericktown MO,Sun Sep 01 15:00:00 PDT 2002,1.34,160.00
H0004,BoblandUSA             San Diego     CA,Sun Sep 01 15:02:00 PDT 2002,1.79,360.00
H0005,Acton         ON,Sun Sep 01 15:01:00 PDT 2002,2.68,140.00
H0010,Mac Weather            Charlottetown PE,Sun Sep 01 15:03:00 PDT 2002,1.34,260.00
H0012,Crowley TX WX Page     Crowley       TX,Sun Sep 01 15:01:00 PDT 2002,1.79,140.00
H0449,West Houston	        Houston	     TX,Sun Sep 01 15:00:00 PDT 2002,0.89,120.00
H0024,Cornelius     OR,Sun Sep 01 15:01:00 PDT 2002,1.34,310.00
H0445,Arlington Street	South Patrick Shores FL,Sun Sep 01 15:01:00 PDT 2002,0.89,30.00
H0432,Melville     NY,Sun Sep 01 15:00:00 PDT 2002,0.00,70.00
H0029,Affton        MO,Sun Sep 01 15:02:00 PDT 2002,0.89,160.00
H0182,Apache Juncti AZ,Sun Sep 01 15:01:00 PDT 2002,1.79,250.00
H0416,Appleton     WI,Sun Sep 01 15:03:00 PDT 2002,3.13,180.00
H0030,Harrisburg             Lowville      NY,Sun Sep 01 15:01:00 PDT 2002,0.89,190.00
H0031,Rainbow City  AL,Sun Sep 01 15:00:00 PDT 2002,0.00,110.00
H0032,Hendersonvill TN,Sun Sep 01 15:01:00 PDT 2002,0.00,210.00
H0339,Williams Worship       Bellflower    CA,Sun Sep 01 15:01:00 PDT 2002,2.24,270.00
H0252,Chula Vista   CA,Sun Sep 01 15:01:00 PDT 2002,2.24,290.00
H0266,Springville Networks   Fortuna       CA,Sun Sep 01 15:02:00 PDT 2002,2.68,260.00
H0158,Lancaster     CA,Sun Sep 01 15:01:00 PDT 2002,7.60,110.00
H0268,Sacramento    CA,Sun Sep 01 15:00:00 PDT 2002,1.34,280.00
H0164,San Luis Obis CA,Sun Sep 01 15:00:00 PDT 2002,5.81,310.00
H0269,South Valley Internet  San Martin    CA,Sun Sep 01 15:01:00 PDT 2002,1.79,330.00
H0259,Pickles Central        San Rafael    CA,Sun Sep 01 15:00:00 PDT 2002,0.00,160.00
H0442,Whittier     CA,Sun Sep 01 15:00:00 PDT 2002,3.13,260.00
H0349,Boulder       CO,Sun Sep 01 15:01:00 PDT 2002,0.45,300.00
H0325,Summit County CO,Sun Sep 01 15:01:00 PDT 2002,0.89,190.00
H0206,Stonybrook             Norwalk       CT,Sun Sep 01 15:00:00 PDT 2002,0.45,90.00
H0036,Dunstable     MA,Sun Sep 01 15:01:00 PDT 2002,0.00,80.00
H0038,Kennesaw      GA,Sun Sep 01 15:01:00 PDT 2002,0.89,220.00
H0224,Boynton Beach FL,Sun Sep 01 15:00:00 PDT 2002,1.79,130.00
H0351,Port St. John Weather  Cocoa         FL,Sun Sep 01 15:01:00 PDT 2002,0.00,40.00
H0240,Santa Rosa Sound       Navarre       FL,Sun Sep 01 15:03:00 PDT 2002,1.79,40.00
H0225,FarPointe              Ball Ground   GA,Sun Sep 01 15:01:00 PDT 2002,1.34,110.00
H0134,Powder Spring GA,Sun Sep 01 15:00:00 PDT 2002,0.00,360.00
H0234,Roswell       GA,Sun Sep 01 15:02:00 PDT 2002,0.00,150.00
H0041,Piedmont Triad Weather Greensboro    NC,Sun Sep 01 15:03:00 PDT 2002,0.00,80.00
H0246,Sidney        IA,Sun Sep 01 15:02:00 PDT 2002,5.81,170.00
H0195,Van Meter     IA,Sun Sep 01 15:01:00 PDT 2002,0.89,160.00
H0190,Boise         ID,Sun Sep 01 15:02:00 PDT 2002,0.00,360.00
H0169,Castle Mountain        Garden Valley ID,Sun Sep 01 15:03:00 PDT 2002,0.00,340.00
H0427,Bloomington  IL,Sun Sep 01 15:01:00 PDT 2002,0.45,210.00
H0286,KIMT Studios           Mason City    IA,Sun Sep 01 15:00:00 PDT 2002,1.34,200.00
H0205,Olathe        KS,Sun Sep 01 15:01:00 PDT 2002,2.24,200.00
H0287,Arlington Center       Arlington     MA,Sun Sep 01 15:01:00 PDT 2002,0.00,80.00
H0272,WoodvilleGr1           Hopkinton     MA,Sun Sep 01 15:01:00 PDT 2002,0.89,130.00
H0307,Bloomington   MN,Sun Sep 01 15:01:00 PDT 2002,0.00,210.00
H0273,Minnesotaweathernet    Franklin      MN,Sun Sep 01 15:00:00 PDT 2002,4.02,220.00
H0354,Monticello    MN,Sun Sep 01 15:01:00 PDT 2002,1.34,220.00
H0342,Gideon School District Gideon        MO,Sun Sep 01 15:00:00 PDT 2002,0.89,160.00
H0335,MSFTRNCS Weather Web   Hooper        NE,Sun Sep 01 15:00:00 PDT 2002,2.24,160.00
H0387,North Holmes           Lake Lincoln NE,Sun Sep 01 15:00:00 PDT 2002,1.79,240.00
H0241,Omaha         NE,Sun Sep 01 15:00:00 PDT 2002,3.13,190.00
H0289,Omaha         NE,Sun Sep 01 15:00:00 PDT 2002,0.00,30.00
H0177,Highland Lakes         Vernon Twsp   NJ,Sun Sep 01 15:01:00 PDT 2002,2.24,110.00
H0137,Babylon Village        Babylon       NY,Sun Sep 01 15:01:00 PDT 2002,1.34,70.00
H0302,Cuba          NY,Sun Sep 01 15:00:00 PDT 2002,1.34,170.00
